DATE,IUMALNZC
31 Jan 1995,8.2285
28 Feb 1995,8.1603
31 Mar 1995,8.1535
30 Apr 1995,8.0891
31 May 1995,7.9215
30 Jun 1995,7.9816
31 Jul 1995,8.2364
31 Aug 1995,8.1383
30 Sep 1995,8.0539
31 Oct 1995,8.2972
30 Nov 1995,7.9808
31 Dec 1995,7.7995
31 Jan 1996,7.8876
29 Feb 1996,8.1947
31 Mar 1996,8.3669
30 Apr 1996,8.303
31 May 1996,8.3802
30 Jun 1996,8.409
31 Jul 1996,8.3367
31 Aug 1996,8.2626
30 Sep 1996,8.2705
31 Oct 1996,7.9752
30 Nov 1996,7.8121
31 Dec 1996,7.6684
31 Jan 1997,7.7358
28 Feb 1997,7.3872
31 Mar 1997,7.5915
30 Apr 1997,7.7288
31 May 1997,7.1572
30 Jun 1997,7.0821
31 Jul 1997,6.8012
31 Aug 1997,6.8617
30 Sep 1997,6.6419
31 Oct 1997,6.3617
30 Nov 1997,6.3722
31 Dec 1997,6.1709
31 Jan 1998,5.9446
28 Feb 1998,5.8841
31 Mar 1998,5.7782
30 Apr 1998,5.6137
31 May 1998,5.6716
30 Jun 1998,5.4212
31 Jul 1998,5.4529
31 Aug 1998,5.2977
30 Sep 1998,4.9136
31 Oct 1998,4.8656
30 Nov 1998,4.7458
31 Dec 1998,4.4663
31 Jan 1999,4.3653
28 Feb 1999,4.4407
31 Mar 1999,4.572
30 Apr 1999,4.5051
31 May 1999,4.7259
30 Jun 1999,4.7584
31 Jul 1999,4.6546
31 Aug 1999,4.5301
30 Sep 1999,4.6367
31 Oct 1999,4.5771
30 Nov 1999,4.084
31 Dec 1999,4.2138
31 Jan 2000,4.468
29 Feb 2000,4.3811
31 Mar 2000,4.2524
30 Apr 2000,4.351
31 May 2000,4.3966
30 Jun 2000,4.3706
31 Jul 2000,4.3828
31 Aug 2000,4.4859
30 Sep 2000,4.6319
31 Oct 2000,4.6096
30 Nov 2000,4.3864
31 Dec 2000,4.2955
31 Jan 2001,4.3345
28 Feb 2001,4.4173
31 Mar 2001,4.4368
30 Apr 2001,4.7394
31 May 2001,4.8518
30 Jun 2001,4.9808
31 Jul 2001,4.8873
31 Aug 2001,4.6895
30 Sep 2001,4.8757
31 Oct 2001,4.7529
30 Nov 2001,4.4738
31 Dec 2001,4.6443
31 Jan 2002,4.7152
28 Feb 2002,4.7266
31 Mar 2002,4.9897
30 Apr 2002,5.0215
31 May 2002,5.0827
30 Jun 2002,4.9411
31 Jul 2002,4.8226
31 Aug 2002,4.5793
30 Sep 2002,4.3933
31 Oct 2002,4.5451
30 Nov 2002,4.6043
31 Dec 2002,4.57
31 Jan 2003,4.4475
28 Feb 2003,4.3944
31 Mar 2003,4.5567
30 Apr 2003,4.6823
31 May 2003,4.4898
30 Jun 2003,4.455
31 Jul 2003,4.7108
31 Aug 2003,4.688
30 Sep 2003,4.7482
31 Oct 2003,4.8213
30 Nov 2003,4.8758
31 Dec 2003,4.7649
31 Jan 2004,4.6986
29 Feb 2004,4.7303
31 Mar 2004,4.6298
30 Apr 2004,4.8056
31 May 2004,4.907
30 Jun 2004,4.8883
31 Jul 2004,4.8168
31 Aug 2004,4.7015
30 Sep 2004,4.6509
31 Oct 2004,4.591
30 Nov 2004,4.4991
31 Dec 2004,4.3963
31 Jan 2005,4.4296
28 Feb 2005,4.4359
31 Mar 2005,4.6557
30 Apr 2005,4.5315
31 May 2005,4.3679
30 Jun 2005,4.2746
31 Jul 2005,4.3141
31 Aug 2005,4.3086
30 Sep 2005,4.1856
31 Oct 2005,4.2785
30 Nov 2005,4.1822
31 Dec 2005,4.064
31 Jan 2006,3.843
28 Feb 2006,3.9043
31 Mar 2006,4.0524
30 Apr 2006,4.2563
31 May 2006,4.3123
30 Jun 2006,4.36
31 Jul 2006,4.3437
31 Aug 2006,4.2944
30 Sep 2006,4.1689
31 Oct 2006,4.1801
30 Nov 2006,4.1107
31 Dec 2006,4.1865
31 Jan 2007,4.333
28 Feb 2007,4.3838
31 Mar 2007,4.3572
30 Apr 2007,4.5599
31 May 2007,4.6282
30 Jun 2007,4.8576
31 Jul 2007,4.8096
31 Aug 2007,4.615
30 Sep 2007,4.5902
31 Oct 2007,4.6008
30 Nov 2007,4.4923
31 Dec 2007,4.5049
31 Jan 2008,4.399
29 Feb 2008,4.5686
31 Mar 2008,4.526
30 Apr 2008,4.705
31 May 2008,4.7793
30 Jun 2008,4.8811
31 Jul 2008,4.8266
31 Aug 2008,4.6822
30 Sep 2008,4.6352
31 Oct 2008,4.7798
30 Nov 2008,4.8252
31 Dec 2008,4.2931
31 Jan 2009,4.4796
28 Feb 2009,4.5595
31 Mar 2009,4.2322
30 Apr 2009,4.5026
31 May 2009,4.6251
30 Jun 2009,4.7167
31 Jul 2009,4.6673
31 Aug 2009,4.3746
30 Sep 2009,4.1985
31 Oct 2009,4.198
30 Nov 2009,4.3672
31 Dec 2009,4.4841
31 Jan 2010,4.5535
28 Feb 2010,4.6892
31 Mar 2010,4.7612
30 Apr 2010,4.7385
31 May 2010,4.5145
30 Jun 2010,4.4454
31 Jul 2010,4.4313
31 Aug 2010,4.25
30 Sep 2010,4.1611
31 Oct 2010,4.1595
30 Nov 2010,4.4027
31 Dec 2010,4.5129
31 Jan 2011,4.5559
28 Feb 2011,4.6035
31 Mar 2011,4.498
30 Apr 2011,4.4819
31 May 2011,4.3555
30 Jun 2011,4.3777
31 Jul 2011,4.3706
31 Aug 2011,4.0108
30 Sep 2011,3.6734
31 Oct 2011,3.4363
30 Nov 2011,3.1907
31 Dec 2011,3.1633
31 Jan 2012,3.0726
29 Feb 2012,3.3152
31 Mar 2012,3.412
30 Apr 2012,3.3773
31 May 2012,3.147
30 Jun 2012,2.94
31 Jul 2012,2.8561
31 Aug 2012,2.8525
30 Sep 2012,2.9721
31 Oct 2012,3.0221
30 Nov 2012,3.0043
31 Dec 2012,3.0636
31 Jan 2013,3.2418
28 Feb 2013,3.3631
31 Mar 2013,3.209
30 Apr 2013,2.9972
31 May 2013,3.1341
30 Jun 2013,3.3913
31 Jul 2013,3.5175
31 Aug 2013,3.6486
30 Sep 2013,3.6907
31 Oct 2013,3.5304
30 Nov 2013,3.6202
31 Dec 2013,3.7068
31 Jan 2014,3.6438
28 Feb 2014,3.576
31 Mar 2014,3.5432
30 Apr 2014,3.5082
31 May 2014,3.4493
30 Jun 2014,3.4849
31 Jul 2014,3.3851
31 Aug 2014,3.1375
30 Sep 2014,3.1186
31 Oct 2014,2.9377
30 Nov 2014,2.8663
31 Dec 2014,2.5983
31 Jan 2015,2.2142
28 Feb 2015,2.3573
31 Mar 2015,2.4275
30 Apr 2015,2.3498
31 May 2015,2.614
30 Jun 2015,2.7775
31 Jul 2015,2.7496
31 Aug 2015,2.5393
30 Sep 2015,2.5495
31 Oct 2015,2.5871
30 Nov 2015,2.6877
