DATE,IUMZICQ,IUMBV34,IUMZICR,IUMB482,IUM2WTL
31 Jan 1995,,8.13,,,
28 Feb 1995,,8.38,,,
31 Mar 1995,,8.08,,,
30 Apr 1995,,8.29,,,
31 May 1995,,8.22,,,
30 Jun 1995,,7.94,,,
31 Jul 1995,,7.89,,,
31 Aug 1995,,7.99,,,
30 Sep 1995,,7.99,,,
31 Oct 1995,,7.99,,,
30 Nov 1995,,7.99,,,
31 Dec 1995,,7.99,,,7.99
31 Jan 1996,,6.7,,,6.7
29 Feb 1996,,6.65,,,6.65
31 Mar 1996,,6.49,,,6.49
30 Apr 1996,,6.62,,,6.62
31 May 1996,,7.01,,,7.01
30 Jun 1996,,7.06,,,7.06
31 Jul 1996,,7.12,,,7.12
31 Aug 1996,,7.09,,,7.09
30 Sep 1996,,7.06,,,7.06
31 Oct 1996,,6.96,,,6.96
30 Nov 1996,,6.94,,,6.94
31 Dec 1996,,7.24,,,7.27
31 Jan 1997,,7.29,,,7.35
28 Feb 1997,,7.35,,,7.41
31 Mar 1997,,7.11,,,7.18
30 Apr 1997,,7.24,,,7.3
31 May 1997,,7.15,,,7.2
30 Jun 1997,,7.14,,,7.19
31 Jul 1997,,7.2,,,7.23
31 Aug 1997,,7.17,,,7.19
30 Sep 1997,,7.06,,,7.09
31 Oct 1997,,7.07,,,7.1
30 Nov 1997,,7.04,,,7.06
31 Dec 1997,,7.13,,,7.33
31 Jan 1998,,7.13,,,7.33
28 Feb 1998,,7.08,,,7.32
31 Mar 1998,,7.02,,,7.26
30 Apr 1998,,7.14,,,7.28
31 May 1998,,7.12,,,7.35
30 Jun 1998,,6.94,,,7.24
31 Jul 1998,,7.08,,,7.35
31 Aug 1998,,7.33,,,7.55
30 Sep 1998,,7.27,,,7.49
31 Oct 1998,,6.91,,,7.01
30 Nov 1998,,6.66,,,6.82
31 Dec 1998,,6.42,,,6.54
31 Jan 1999,,5.9,,,5.97
28 Feb 1999,,5.78,,,5.88
31 Mar 1999,,5.64,,,5.95
30 Apr 1999,,5.71,,,5.89
31 May 1999,,5.72,,,5.96
30 Jun 1999,,5.89,,,6
31 Jul 1999,,6,,,6.17
31 Aug 1999,,6.19,,,6.36
30 Sep 1999,,6.22,,,6.45
31 Oct 1999,,6.5,,,6.79
30 Nov 1999,,6.6,,,6.77
31 Dec 1999,,6.52,,,6.84
31 Jan 2000,,6.78,,,6.9
29 Feb 2000,,6.79,,,6.97
31 Mar 2000,,6.45,,,6.68
30 Apr 2000,,6.31,,,6.64
31 May 2000,,6.39,,,6.52
30 Jun 2000,,6.46,,,6.65
31 Jul 2000,,6.37,,,6.59
31 Aug 2000,,6.35,,,6.58
30 Sep 2000,,6.31,,,6.6
31 Oct 2000,,6.05,,,6.45
30 Nov 2000,,6.06,,,6.29
31 Dec 2000,,6.03,,,6.22
31 Jan 2001,,5.78,,,6
28 Feb 2001,,5.7,,,5.85
31 Mar 2001,,5.68,,,5.82
30 Apr 2001,,5.63,,,5.76
31 May 2001,,5.65,,,5.71
30 Jun 2001,,5.72,,,5.82
31 Jul 2001,,5.92,,,6.16
31 Aug 2001,,5.58,,,6
30 Sep 2001,,5.39,,,5.59
31 Oct 2001,,5.06,,,5.53
30 Nov 2001,,4.84,,,5.31
31 Dec 2001,,4.98,,,5.21
31 Jan 2002,,5.06,,,5.34
28 Feb 2002,,5.14,,,5.47
31 Mar 2002,,5.22,,,5.47
30 Apr 2002,,5.35,,,5.62
31 May 2002,,5.43,,,5.67
30 Jun 2002,,5.41,,,5.65
31 Jul 2002,,5.3,,,5.55
31 Aug 2002,,4.59,,,4.92
30 Sep 2002,,4.5,,,4.72
31 Oct 2002,,4.43,,,4.69
30 Nov 2002,,4.45,,,4.68
31 Dec 2002,,4.62,,,4.86
31 Jan 2003,,4.5,,,4.69
28 Feb 2003,,4.14,,,4.36
31 Mar 2003,,4.06,,,4.2
30 Apr 2003,,4.06,,,4.31
31 May 2003,,3.91,,,4.18
30 Jun 2003,,3.85,,,4.04
31 Jul 2003,,3.87,,,4.08
31 Aug 2003,,4.32,,,4.63
30 Sep 2003,,4.56,,,4.86
31 Oct 2003,,4.98,,,5.21
30 Nov 2003,,5.1,,,5.34
31 Dec 2003,,5.05,,,5.32
31 Jan 2004,,4.95,,,5.19
29 Feb 2004,,4.89,,,5.12
31 Mar 2004,,4.9,,,5.17
30 Apr 2004,,5.11,,,5.37
31 May 2004,,5.18,,,5.33
30 Jun 2004,,5.52,,,5.76
31 Jul 2004,,5.53,,,5.69
31 Aug 2004,,5.47,,,5.66
30 Sep 2004,,5.33,,,5.63
31 Oct 2004,,5.29,,,5.6
30 Nov 2004,,5.06,,,5.42
31 Dec 2004,,5.07,,,5.31
31 Jan 2005,,4.99,,,5.3
28 Feb 2005,,5.07,,,5.31
31 Mar 2005,,5.2,,,5.48
30 Apr 2005,,5.16,,,5.43
31 May 2005,,4.91,,,5.27
30 Jun 2005,,4.77,,,5.01
31 Jul 2005,,4.59,,,4.76
31 Aug 2005,,4.56,,,4.75
30 Sep 2005,,4.52,,,4.74
31 Oct 2005,,4.54,,,4.78
30 Nov 2005,,4.74,,,4.98
31 Dec 2005,,4.74,,,5.04
31 Jan 2006,,4.62,,,4.96
28 Feb 2006,,4.71,,,5.01
31 Mar 2006,,4.72,,,5.04
30 Apr 2006,,4.77,,,5.03
31 May 2006,,5,,,5.23
30 Jun 2006,,5,,,5.31
31 Jul 2006,,5.01,,,5.39
31 Aug 2006,,5.1,,,5.42
30 Sep 2006,,5.1,,,5.44
31 Oct 2006,,4.99,,,5.39
30 Nov 2006,,5.2,,,5.51
31 Dec 2006,,5.15,,,5.44
31 Jan 2007,,5.32,,,5.68
28 Feb 2007,,5.46,,,5.82
31 Mar 2007,,5.55,,,5.88
30 Apr 2007,,5.62,,,5.86
31 May 2007,,5.7,,,6.05
30 Jun 2007,,5.98,,,6.26
31 Jul 2007,,6.07,,,6.33
31 Aug 2007,,6.11,,,6.54
30 Sep 2007,,6.05,,,6.32
31 Oct 2007,,6.11,,,6.44
30 Nov 2007,,6.09,,,6.47
31 Dec 2007,,6.06,,,6.54
31 Jan 2008,,5.97,,,6.41
29 Feb 2008,,5.74,,,6.52
31 Mar 2008,,5.8,,,6.59
30 Apr 2008,,6.06,,,6.91
31 May 2008,,6.26,,6.44,..
30 Jun 2008,,6.6,,6.67,..
31 Jul 2008,,6.35,,6.94,..
31 Aug 2008,,6.08,,6.8,..
30 Sep 2008,,5.96,,6.56,..
31 Oct 2008,,5.83,,6.41,..
30 Nov 2008,,5.1,,6.58,..
31 Dec 2008,,4.77,,6.69,..
31 Jan 2009,,4.35,,6.13,..
28 Feb 2009,,4.35,,5.97,..
31 Mar 2009,,3.98,,..,..
30 Apr 2009,,4.02,,..,..
31 May 2009,,3.98,,..,..
30 Jun 2009,,4.45,,6.47,..
31 Jul 2009,,4.42,,6.47,..
31 Aug 2009,,4.43,,6.44,..
30 Sep 2009,,4.47,,6.42,..
31 Oct 2009,,4.32,,6.55,..
30 Nov 2009,,4.1,,6.62,..
31 Dec 2009,,4.05,,6.64,..
31 Jan 2010,,3.97,,6.61,..
28 Feb 2010,,3.88,,6.62,..
31 Mar 2010,,3.92,,6.61,..
30 Apr 2010,,3.82,,6.65,..
31 May 2010,,3.78,,6.63,..
30 Jun 2010,,3.67,,6.6,..
31 Jul 2010,,3.77,,6.52,..
31 Aug 2010,,3.74,,6.35,..
30 Sep 2010,,3.8,,6.27,..
31 Oct 2010,,3.68,,6.14,..
30 Nov 2010,,3.53,,6.16,..
31 Dec 2010,,3.5,,6.15,..
31 Jan 2011,,3.7,,6.18,..
28 Feb 2011,,3.7,,5.92,..
31 Mar 2011,,3.68,,5.91,..
30 Apr 2011,,3.66,,5.98,..
31 May 2011,,3.51,,5.93,..
30 Jun 2011,,3.36,,5.77,..
31 Jul 2011,,3.14,,5.75,..
31 Aug 2011,,3,,5.5,..
30 Sep 2011,,2.92,,5.27,..
31 Oct 2011,,3.04,,5.31,..
30 Nov 2011,,3.14,,5.37,..
31 Dec 2011,,3.22,,5.45,..
31 Jan 2012,2.76,3.27,4.04,5.53,..
29 Feb 2012,3.02,3.37,4.1,5.6,..
31 Mar 2012,3.03,3.44,4.29,5.76,..
30 Apr 2012,3.15,3.66,4.47,5.79,..
31 May 2012,3.22,3.68,4.68,6.07,..
30 Jun 2012,3.27,3.74,4.68,5.7,..
31 Jul 2012,3.14,3.67,4.53,5.83,..
31 Aug 2012,3.09,3.69,4.6,5.93,..
30 Sep 2012,2.99,3.67,4.59,5.85,..
31 Oct 2012,2.6,3.49,4.62,5.64,..
30 Nov 2012,2.45,3.43,4.5,5.64,..
31 Dec 2012,2.5,3.35,4.21,5.39,..
31 Jan 2013,2.38,3.11,3.96,4.86,..
28 Feb 2013,2.34,2.92,3.9,4.73,..
31 Mar 2013,2.26,2.9,3.9,4.67,..
30 Apr 2013,2.25,2.87,3.89,4.67,..
31 May 2013,2.16,2.69,4.04,4.61,..
30 Jun 2013,2.09,2.63,3.94,4.59,..
31 Jul 2013,2.07,2.62,3.66,4.58,..
31 Aug 2013,2.07,2.58,3.57,4.52,..
30 Sep 2013,2,2.54,3.48,4.56,..
31 Oct 2013,1.98,2.48,3.44,4.42,5.1
30 Nov 2013,1.95,2.44,3.4,4.41,5.04
