"Title","CG: National savings: £m CPNSA"
"CDID","ACUA"
"Source dataset ID","PUSF"
"PreUnit","£"
"Unit","m"
"Release date","20-03-2026"
"Next release","23 April 2026"
"Important notes",
"1966","7019"
"1967","6979"
"1968","6887"
"1969","6667"
"1970","6620"
"1971","6994"
"1972","7459"
"1973","7566"
"1974","7554"
"1975","7978"
"1976","8418"
"1977","9707"
"1978","11233"
"1979","10725"
"1980","12102"
"1981","18165"
"1982","21810"
"1983","24803"
"1984","28194"
"1985","30684"
"1986","32964"
"1987","35512"
"1988","37002"
"1989","35487"
"1990","36313"
"1991","38520"
"1992","43539"
"1993","46560"
"1994","51157"
"1995","54422"
"1996","61289"
"1997","62839"
"1998","64670"
"1999","63788"
"2000","63270"
"2001","62495"
"2002","61910"
"2003","66358"
"2004","67886"
"2005","70779"
"2006","76608"
"2007","82163"
"2008","93753"
"2009","97754"
"2010","98756"
"2011","102664"
"2012","101035"
"2013","104180"
"2014","111049"
"2015","133155"
"2016","142130"
"2017","152740"
"2018","164727"
"2019","174881"
"2020","206792"
"2021","204134"
"2022","210167"
"2023","229377"
"2024","237191"
"2025","247367"
"1966 Q4","7019"
"1967 Q1","6997"
"1967 Q2","7023"
"1967 Q3","7007"
"1967 Q4","6979"
"1968 Q1","7000"
"1968 Q2","6963"
"1968 Q3","6928"
"1968 Q4","6887"
"1969 Q1","6918"
"1969 Q2","6828"
"1969 Q3","6761"
"1969 Q4","6667"
"1970 Q1","6688"
"1970 Q2","6626"
"1970 Q3","6600"
"1970 Q4","6620"
"1971 Q1","6749"
"1971 Q2","6808"
"1971 Q3","6863"
"1971 Q4","6994"
"1972 Q1","7188"
"1972 Q2","7337"
"1972 Q3","7405"
"1972 Q4","7459"
"1973 Q1","7570"
"1973 Q2","7623"
"1973 Q3","7648"
"1973 Q4","7566"
"1974 Q1","7561"
"1974 Q2","7545"
"1974 Q3","7549"
"1974 Q4","7554"
"1975 Q1","7693"
"1975 Q2","7796"
"1975 Q3","7915"
"1975 Q4","7978"
"1976 Q1","8191"
"1976 Q2","8326"
"1976 Q3","8474"
"1976 Q4","8418"
"1977 Q1","9035"
"1977 Q2","9236"
"1977 Q3","9414"
"1977 Q4","9707"
"1978 Q1","10129"
"1978 Q2","10477"
"1978 Q3","10947"
"1978 Q4","11233"
"1979 Q1","11748"
"1979 Q2","11930"
"1979 Q3","12048"
"1979 Q4","10725"
"1980 Q1","11146"
"1980 Q2","11395"
"1980 Q3","11596"
"1980 Q4","12102"
"1981 Q1","15256"
"1981 Q2","16607"
"1981 Q3","17279"
"1981 Q4","18165"
"1982 Q1","19480"
"1982 Q2","19874"
"1982 Q3","20607"
"1982 Q4","21810"
"1983 Q1","22517"
"1983 Q2","23126"
"1983 Q3","23844"
"1983 Q4","24803"
"1984 Q1","25794"
"1984 Q2","26374"
"1984 Q3","27471"
"1984 Q4","28194"
"1985 Q1","28864"
"1985 Q2","29600"
"1985 Q3","30214"
"1985 Q4","30684"
"1986 Q1","30635"
"1986 Q2","31336"
"1986 Q3","32188"
"1986 Q4","32964"
"1987 Q1","34043"
"1987 Q2","34726"
"1987 Q3","35253"
"1987 Q4","35512"
"1988 Q1","36331"
"1988 Q2","36750"
"1988 Q3","37104"
"1988 Q4","37002"
"1989 Q1","36945"
"1989 Q2","36792"
"1989 Q3","36022"
"1989 Q4","35487"
"1990 Q1","35260"
"1990 Q2","35504"
"1990 Q3","35912"
"1990 Q4","36313"
"1991 Q1","36614"
"1991 Q2","37185"
"1991 Q3","37930"
"1991 Q4","38520"
"1992 Q1","39759"
"1992 Q2","41251"
"1992 Q3","42510"
"1992 Q4","43539"
"1993 Q1","44147"
"1993 Q2","44807"
"1993 Q3","45409"
"1993 Q4","46560"
"1994 Q1","48330"
"1994 Q2","49712"
"1994 Q3","50444"
"1994 Q4","51157"
"1995 Q1","51843"
"1995 Q2","52532"
"1995 Q3","53088"
"1995 Q4","54422"
"1996 Q1","56965"
"1996 Q2","58702"
"1996 Q3","60097"
"1996 Q4","61289"
"1997 Q1","61754"
"1997 Q2","61961"
"1997 Q3","62389"
"1997 Q4","62839"
"1998 Q1","63271"
"1998 Q2","64356"
"1998 Q3","64576"
"1998 Q4","64670"
"1999 Q1","64346"
"1999 Q2","63989"
"1999 Q3","63595"
"1999 Q4","63788"
"2000 Q1","63331"
"2000 Q2","63459"
"2000 Q3","63635"
"2000 Q4","63270"
"2001 Q1","62611"
"2001 Q2","62129"
"2001 Q3","62074"
"2001 Q4","62495"
"2002 Q1","62275"
"2002 Q2","61625"
"2002 Q3","61704"
"2002 Q4","61910"
"2003 Q1","63087"
"2003 Q2","64830"
"2003 Q3","65674"
"2003 Q4","66358"
"2004 Q1","66522"
"2004 Q2","66794"
"2004 Q3","67233"
"2004 Q4","67886"
"2005 Q1","68504"
"2005 Q2","67825"
"2005 Q3","69353"
"2005 Q4","70779"
"2006 Q1","71953"
"2006 Q2","72935"
"2006 Q3","73963"
"2006 Q4","76608"
"2007 Q1","77328"
"2007 Q2","79366"
"2007 Q3","80404"
"2007 Q4","82163"
"2008 Q1","83197"
"2008 Q2","84605"
"2008 Q3","87572"
"2008 Q4","93753"
"2009 Q1","96475"
"2009 Q2","95554"
"2009 Q3","94555"
"2009 Q4","97754"
"2010 Q1","97944"
"2010 Q2","100087"
"2010 Q3","100685"
"2010 Q4","98756"
"2011 Q1","97773"
"2011 Q2","101548"
"2011 Q3","102501"
"2011 Q4","102664"
"2012 Q1","102045"
"2012 Q2","101738"
"2012 Q3","101240"
"2012 Q4","101035"
"2013 Q1","101702"
"2013 Q2","102798"
"2013 Q3","103972"
"2013 Q4","104180"
"2014 Q1","104747"
"2014 Q2","107166"
"2014 Q3","109391"
"2014 Q4","111049"
"2015 Q1","123469"
"2015 Q2","128730"
"2015 Q3","131000"
"2015 Q4","133155"
"2016 Q1","134633"
"2016 Q2","134298"
"2016 Q3","136147"
"2016 Q4","142130"
"2017 Q1","146242"
"2017 Q2","147805"
"2017 Q3","149474"
"2017 Q4","152740"
"2018 Q1","155942"
"2018 Q2","159163"
"2018 Q3","161576"
"2018 Q4","164727"
"2019 Q1","166968"
"2019 Q2","168853"
"2019 Q3","171735"
"2019 Q4","174881"
"2020 Q1","178597"
"2020 Q2","193568"
"2020 Q3","217367"
"2020 Q4","206792"
"2021 Q1","201565"
"2021 Q2","202152"
"2021 Q3","202805"
"2021 Q4","204134"
"2022 Q1","206622"
"2022 Q2","207755"
"2022 Q3","209955"
"2022 Q4","210167"
"2023 Q1","216722"
"2023 Q2","218841"
"2023 Q3","226874"
"2023 Q4","229377"
"2024 Q1","228857"
"2024 Q2","229293"
"2024 Q3","232235"
"2024 Q4","237191"
"2025 Q1","238502"
"2025 Q2","240492"
"2025 Q3","241876"
"2025 Q4","247367"
"1997 MAR","61754"
"1997 APR","61900"
"1997 MAY","61884"
"1997 JUN","61961"
"1997 JUL","62103"
"1997 AUG","62239"
"1997 SEP","62389"
"1997 OCT","62619"
"1997 NOV","62717"
"1997 DEC","62839"
"1998 JAN","63130"
"1998 FEB","63192"
"1998 MAR","63271"
"1998 APR","64136"
"1998 MAY","64173"
"1998 JUN","64356"
"1998 JUL","64535"
"1998 AUG","64498"
"1998 SEP","64576"
"1998 OCT","64769"
"1998 NOV","64652"
"1998 DEC","64670"
"1999 JAN","64738"
"1999 FEB","64454"
"1999 MAR","64346"
"1999 APR","64196"
"1999 MAY","64008"
"1999 JUN","63989"
"1999 JUL","63933"
"1999 AUG","63754"
"1999 SEP","63595"
"1999 OCT","63525"
"1999 NOV","63516"
"1999 DEC","63788"
"2000 JAN","63551"
"2000 FEB","63521"
"2000 MAR","63331"
"2000 APR","63309"
"2000 MAY","63360"
"2000 JUN","63459"
"2000 JUL","63496"
"2000 AUG","63622"
"2000 SEP","63635"
"2000 OCT","63650"
"2000 NOV","63708"
"2000 DEC","63270"
"2001 JAN","63227"
"2001 FEB","62979"
"2001 MAR","62611"
"2001 APR","62419"
"2001 MAY","62268"
"2001 JUN","62129"
"2001 JUL","62078"
"2001 AUG","62098"
"2001 SEP","62074"
"2001 OCT","62297"
"2001 NOV","62436"
"2001 DEC","62495"
"2002 JAN","62651"
"2002 FEB","62648"
"2002 MAR","62275"
"2002 APR","62177"
"2002 MAY","62014"
"2002 JUN","61625"
"2002 JUL","61656"
"2002 AUG","61728"
"2002 SEP","61704"
"2002 OCT","61760"
"2002 NOV","61834"
"2002 DEC","61910"
"2003 JAN","62275"
"2003 FEB","62701"
"2003 MAR","63087"
"2003 APR","63427"
"2003 MAY","64331"
"2003 JUN","64830"
"2003 JUL","65199"
"2003 AUG","65416"
"2003 SEP","65674"
"2003 OCT","65953"
"2003 NOV","66224"
"2003 DEC","66358"
"2004 JAN","66559"
"2004 FEB","66592"
"2004 MAR","66522"
"2004 APR","66612"
"2004 MAY","66693"
"2004 JUN","66794"
"2004 JUL","66983"
"2004 AUG","67068"
"2004 SEP","67233"
"2004 OCT","67476"
"2004 NOV","67753"
"2004 DEC","67886"
"2005 JAN","68216"
"2005 FEB","68457"
"2005 MAR","68504"
"2005 APR","67450"
"2005 MAY","67558"
"2005 JUN","67825"
"2005 JUL","68247"
"2005 AUG","68790"
"2005 SEP","69353"
"2005 OCT","69962"
"2005 NOV","70339"
"2005 DEC","70779"
"2006 JAN","71371"
"2006 FEB","71759"
"2006 MAR","71953"
"2006 APR","72513"
"2006 MAY","72850"
"2006 JUN","72935"
"2006 JUL","73240"
"2006 AUG","73597"
"2006 SEP","73963"
"2006 OCT","75939"
"2006 NOV","76288"
"2006 DEC","76608"
"2007 JAN","76820"
"2007 FEB","77068"
"2007 MAR","77328"
"2007 APR","78740"
"2007 MAY","79219"
"2007 JUN","79366"
"2007 JUL","79602"
"2007 AUG","79666"
"2007 SEP","80404"
"2007 OCT","81059"
"2007 NOV","81764"
"2007 DEC","82163"
"2008 JAN","82456"
"2008 FEB","82704"
"2008 MAR","83197"
"2008 APR","83891"
"2008 MAY","84156"
"2008 JUN","84605"
"2008 JUL","85055"
"2008 AUG","85395"
"2008 SEP","87572"
"2008 OCT","92360"
"2008 NOV","93082"
"2008 DEC","93753"
"2009 JAN","95640"
"2009 FEB","96240"
"2009 MAR","96475"
"2009 APR","96521"
"2009 MAY","95950"
"2009 JUN","95554"
"2009 JUL","95184"
"2009 AUG","94865"
"2009 SEP","94555"
"2009 OCT","94437"
"2009 NOV","97449"
"2009 DEC","97754"
"2010 JAN","97635"
"2010 FEB","97693"
"2010 MAR","97944"
"2010 APR","98521"
"2010 MAY","99285"
"2010 JUN","100087"
"2010 JUL","100465"
"2010 AUG","100582"
"2010 SEP","100685"
"2010 OCT","100769"
"2010 NOV","98961"
"2010 DEC","98756"
"2011 JAN","98119"
"2011 FEB","97940"
"2011 MAR","97773"
"2011 APR","97770"
"2011 MAY","100487"
"2011 JUN","101548"
"2011 JUL","101999"
"2011 AUG","102439"
"2011 SEP","102501"
"2011 OCT","102684"
"2011 NOV","102430"
"2011 DEC","102664"
"2012 JAN","102656"
"2012 FEB","102386"
"2012 MAR","102045"
"2012 APR","101784"
"2012 MAY","101703"
"2012 JUN","101738"
"2012 JUL","101657"
"2012 AUG","101320"
"2012 SEP","101240"
"2012 OCT","101219"
"2012 NOV","101050"
"2012 DEC","101035"
"2013 JAN","101088"
"2013 FEB","101215"
"2013 MAR","101702"
"2013 APR","101791"
"2013 MAY","102113"
"2013 JUN","102798"
"2013 JUL","103327"
"2013 AUG","103886"
"2013 SEP","103972"
"2013 OCT","103885"
"2013 NOV","104084"
"2013 DEC","104180"
"2014 JAN","104359"
"2014 FEB","104508"
"2014 MAR","104747"
"2014 APR","105324"
"2014 MAY","105659"
"2014 JUN","107166"
"2014 JUL","107940"
"2014 AUG","108660"
"2014 SEP","109391"
"2014 OCT","110063"
"2014 NOV","110587"
"2014 DEC","111049"
"2015 JAN","117873"
"2015 FEB","121227"
"2015 MAR","123469"
"2015 APR","125538"
"2015 MAY","127343"
"2015 JUN","128730"
"2015 JUL","129690"
"2015 AUG","130357"
"2015 SEP","131000"
"2015 OCT","131808"
"2015 NOV","132452"
"2015 DEC","133155"
"2016 JAN","133246"
"2016 FEB","133856"
"2016 MAR","134633"
"2016 APR","135597"
"2016 MAY","134652"
"2016 JUN","134298"
"2016 JUL","134580"
"2016 AUG","135214"
"2016 SEP","136147"
